word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion,r
dolor,1.49502147335,1.51300653376,1.48297381233,1.54110961611,4.2873912089
frighten,1.34438685125,1.17042350565,1.42009480142,1.28861629755,14.8396070612
abhor,1.26528932076,1.18332376475,1.39120960886,1.32275352916,3.49216047094
unsuccessful,1.57487509403,1.46071464639,1.5197483535,1.58910174179,35.3679752
acrimonious,1.43197450476,1.32473828326,1.3202547826,1.46913189019,17.3438666029
obdurate,1.27687020121,1.11820082462,1.24259272231,1.34107282208,3.09464385151
contempt,1.15516745975,1.02125448312,1.17408067901,1.25922580861,29.3425419104
aggravated,1.532718218,1.27330063402,1.37496630476,1.48034821489,22.2194145504
jitteriness,1.33703336079,1.36874203775,1.37940115028,1.35938980163,0.839524379896
timorous,1.22703606571,1.11794797589,1.2321883933,1.2907734402,2.5894735091
bare,1.3962595715,1.37410770699,1.42875044224,1.39808356808,28.3226143756
tumult,1.30729957187,1.11920423119,1.34644853245,1.2318986124,8.55760509521
affectionate,0.923874380385,1.11763006131,1.11425880915,1.18958493473,21.7112142131
steamed,1.5543791898,1.56547253273,1.49285239996,1.54841678476,34.8851319081
scared,1.19654468996,1.0168625757,1.40546919754,1.02517725192,21.1202741792
desperate,1.24336552212,1.03082271342,1.29569096027,1.2549560103,29.7967358879
despairingly,1.42813077338,1.40333510205,1.42919244714,1.40919779173,1.91317562188
stung,1.31598660801,1.14887078484,1.35671850824,1.22445564216,11.5009961875
